연번,시도청,경찰서,관서명,구분,전화번호,도로명 주소,위도,경도,동
114,서울청,서울서부,녹번,파출소,02-335-9820,서울특별시 은평구  진흥로 진흥로200,37.6088118976774,126.931835604338,녹번동
115,서울청,서울서부,응암3,파출소,02-335-9830,서울특별시 은평구  응암로 208 ,37.5905275289984,126.917536839269,응암동
116,서울청,서울서부,역촌,파출소,02-350-1934,서울특별시 은평구  연서로 61,37.6045881730664,126.915065656503,역촌동
117,서울청,서울강북,미아,지구대,02-944-4112,서울특별시 강북구 도봉로 127,37.6201553368322,127.028264945396,미아동
118,서울청,서울강북,솔샘,지구대,02-944-4122-7,서울특별시 강북구 오현로 4,37.6163094791984,127.030400810226,미아동
119,서울청,서울강북,수유1,파출소,02-944-4132,서울특별시 강북구  삼양로 305,37.6306754435128,127.017581288566,수유동
120,서울청,서울강북,수유2,파출소,02-944-4141,서울특별시 강북구 삼각산로 115,37.6409214297195,127.017097860052,수유동
121,서울청,서울강북,수유3,파출소,02-944-4153,서울특별시 강북구  한천로150길 76,37.6443352147613,127.026584681492,수유동
122,서울청,서울강북,인수,파출소,02-944-4163,서울특별시 강북구 인수봉로 227,37.6394398066975,127.012404041316,수유동
123,서울청,서울강북,번동,파출소,02-944-4173,서울특별시 강북구  한천로 969,37.6359777996055,127.032580241056,번동
124,서울청,서울강북,번3,파출소,02-944-4183,서울특별시 강북구  월계로 227,37.6236254564886,127.048129996352,번동
125,서울청,서울강북,삼양,파출소,02-944-4102,서울특별시 강북구  삼양로 239-1,37.6248320047698,127.018177569406,미아동
126,서울청,서울금천,금천,파출소,02-802-0113,서울특별시 금천구 시흥대로57길 45,37.4542211790837,126.899819857776,시흥동
127,서울청,서울금천,문성,지구대,02-855-0112,서울특별시 금천구  독산로 76길 20,37.469535370684,126.903461587069,독산동
128,서울청,서울금천,백산,지구대,02-805-0112,서울특별시 금천구  탑골로2길 37 백산지구대,37.4510427230003,126.912595677405,시흥동
129,서울청,서울금천,가산,파출소,02-864-0113,서울특별시 금천구  벚꽃로56길 174,37.4799367297212,126.888055745139,가산동
130,서울청,서울금천,독산,파출소,02-807-0113,서울특별시 금천구  벚꽃로10길 89,37.4646448212254,126.89475752423,독산동
131,서울청,서울중랑,망우,지구대,02-2171-0300,서울특별시 중랑구  망우로 391,37.5990315026677,127.095531641978,망우동
132,서울청,서울중랑,중화,지구대,02-2171-0303,서울특별시 중랑구  중랑천로 146,37.5979867086444,127.072209222688,중화동
133,서울청,서울중랑,용마,지구대,02-2171-0301,서울특별시 중랑구 동일로 566,37.5809441456434,127.079936341665,면목동
134,서울청,서울중랑,봉화,지구대,02-2171-0302,서울특별시 중랑구  신내로 177,37.6147837734163,127.095529250904,신내동
135,서울청,서울중랑,면목본동,파출소,02-2171-0306,서울특별시 중랑구  상봉로 27,37.5882025518883,127.093877426792,면목동
136,서울청,서울중랑,면목삼팔,파출소,02-2171-0307,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소),37.5832071216876,127.084154900474,면목동
137,서울청,서울중랑,상봉,파출소,02-2171-0304,서울특별시 중랑구  중랑천로 69 상봉파출소,37.5913260054733,127.072850562231,면목동
138,서울청,서울중랑,먹골,파출소,02-2171-0305,서울특별시 중랑구 숙선옹주로7길 1,37.6146247980813,127.081532352053,묵동
139,서울청,서울강남,역삼,지구대,02-562-1623,서울특별시 강남구 언주로108길 20,37.5083158851838,127.041017856636,역삼동
140,서울청,서울강남,논현1,파출소,02-544-5555,서울특별시 강남구 학동로 169,37.5138651397213,127.02932175785,논현동
141,서울청,서울강남,논현2,파출소,02-543-0112,서울특별시 강남구 학동로 227,37.5152038126855,127.033846444455,논현동
142,서울청,서울강남,삼성1,파출소,02-511-5049,서울특별시 강남구 영동대로112길 4,37.5149074360264,127.060545856713,삼성동
143,서울청,서울강남,삼성2,파출소,02-562-1628,서울특별시 강남구 선릉로 626,37.5124098757427,127.043517868339,삼성동
144,서울청,서울강남,청담,파출소,02-512-0112,서울특별시 강남구 학동로95길 19,37.5207979095084,127.054275568617,청담동
145,서울청,서울강남,신사,파출소,02-511-5087,서울특별시 강남구 도산대로 143,37.5183707913463,127.024133358022,신사동
146,서울청,서울강남,압구정,파출소,02-542-1103,서울특별시 강남구 압구정로 311,37.5293473229076,127.035614442254,압구정동
147,서울청,서울관악,당곡,지구대,02-870-0810,서울특별시 관악구  남부순환로191길 12 당곡지구대,37.4860068452142,126.93436440338,봉천동
148,서울청,서울관악,낙성대,지구대,02-870-0820,"서울특별시 관악구  봉천로 540, 낙성대지구대",37.4783269065956,126.95759572971,봉천동
149,서울청,서울관악,신림,지구대,02-870-0830,서울특별시 관악구  남부순환로188길 12 신림지구대,37.4840164722611,126.933317348962,신림동
150,서울청,서울관악,관악산,지구대,02-870-0840,서울특별시 관악구  신림로 178 관악산지구대,37.473859396558,126.935263149906,신림동
151,서울청,서울관악,구암,지구대,02-870-0850,서울특별시 관악구 은천로 93,37.4873527233282,126.945428874003,봉천동
152,서울청,서울관악,남현,파출소,02-870-0890,서울특별시 관악구  남현1가길 29 남현파출소,37.4746878600089,126.977875262005,남현동
153,서울청,서울관악,난우,파출소,02-870-0860,서울특별시 관악구  난곡로64 난우파출소,37.4611182549024,126.919249954798,신림동
154,서울청,서울관악,미성,파출소,02-870-0870,서울특별시 관악구  난곡로64가길 31,37.479924213477,126.915610467133,신림동
155,서울청,서울관악,신사,지구대,02-870-0880,서울특별시 관악구  신사로 106,37.4872984954348,126.914205074264,신림동
156,서울청,서울강서,화곡,지구대,02-2604-0087,서울특별시 강서구  화곡로 308,37.551558168546,126.849656371385,화곡동
157,서울청,서울강서,공항,지구대,02-2662-0372,서울특별시 강서구  방화동로 5 ,37.5623696520713,126.808278457076,방화동
158,서울청,서울강서,까치산,지구대,02-2604-5053,서울특별시 강서구  강서로7길 39,37.5293516336519,126.845560142507,화곡동
159,서울청,서울강서,가양,지구대,02-3665-9112,서울특별시 강서구 화곡로65길 63,37.559249129802,126.850122609392,등촌동
160,서울청,서울강서,곰달래,지구대,02-2643-7994,서울특별시 양천구 가로공원로 168(임시청사),37.536567917376,126.834577353074,신월동
161,서울청,서울강서,방화3,파출소,02-2663-1121,서울특별시 강서구  금낭화로26길 16,37.5798053719259,126.814682089465,방화동
162,서울청,서울강서,염창,지구대,02-3665-0660,서울특별시 강서구  공항대로59다길 80,No results,No results,
163,서울청,서울강서,등촌2,파출소,02-2651-0330,서울특별시 강서구  등촌로 167 ,37.5448086639425,126.861869176287,등촌동
164,서울청,서울강서,발산,지구대,02-2662-0330,서울특별시 강서구  수명로2길 46 ,37.5494063246067,126.826042665559,내발산동
165,서울청,서울강서,화곡3,파출소,02-2604-2133,서울특별시 강서구  강서로45다길 71,37.5446566550337,126.835171321129,화곡동
166,서울청,서울강서,마곡,지구대,02-2620-9541,서울특별시 강서구 마곡중앙5로 32,37.5672439954454,126.824231110067,마곡동
167,서울청,서울강동,천호,지구대,02-3449-7804,"서울특별시 강동구  구천면로 141, 천호지구대",37.5425732089475,127.120777276664,천호동
168,서울청,서울강동,길동,지구대,02-3449-7814,서울특별시 강동구 양재대로96길 35,37.5294507820334,127.139188584154,둔촌동
169,서울청,서울강동,성내,지구대,02-3449-7834,서울특별시 강동구  성내로 57 성내지구대 ,37.5286775394179,127.126957376122,성내동
170,서울청,서울강동,암사,지구대,02-3449-7824,서울특별시 강동구  고덕로 137 암사지구대,37.554996356036,127.140784057162,암사동
171,서울청,서울강동,둔촌,파출소,02-3449-7854,서울특별시 강동구  진황도로 239 둔촌파출소,37.5253343295674,127.145654106374,둔촌동
172,서울청,서울강동,명일,파출소,02-3449-7844,서울특별시 강동구 동남로 895 명일파출소,37.5536441814625,127.156088167669,명일동
173,서울청,서울강동,강일,파출소,02-3449-7864,서울특별시 강동구  아리수로91길 20,37.5648665308628,127.173214774729,강일동
174,서울청,서울강동,고덕,파출소,02-3449-7874,서울특별시 강동구  고덕로 61길61,37.5573242394469,127.151712873072,고덕동
175,서울청,서울강동,상일,파출소,02-3449-7894,서울특별시 강동구 고덕로 80길 7,37.5562444204205,127.165767403457,상일동
176,서울청,서울종암,석관,파출소,02-3396-7663,서울특별시 성북구  화랑로32가길 20 석관파출소,37.6089587454453,127.055268593826,석관동
177,서울청,서울종암,장위,지구대,02-3396-7673,서울특별시 성북구 장월로174 장위지구대,37.6194566597845,127.053803736786,장위동
178,서울청,서울종암,월곡,지구대,02-3396-7684,서울특별시 성북구  종암로32길 5 월곡지구대,37.6044172376097,127.032413134442,하월곡동
179,서울청,서울종암,종암,파출소,02-3396-7693,서울특별시 성북구  종암로23길 52,37.6000955868312,127.031262883025,종암동
180,서울청,서울구로,신구로,지구대,02-853-0189,서울특별시 구로구 새말로 26 신구로지구대,37.5022709315884,126.88389609812,구로동
181,서울청,서울구로,오류,지구대,02-840-8305,서울특별시 구로구  고척로1길 34 오류지구대,37.4948162993423,126.838842200207,오류동
182,서울청,서울구로,구일,지구대,02-840-8302,서울특별시 구로구  도림로 63 구일지구대,37.4892521149095,126.890700200107,구로동
183,서울청,서울구로,고척,지구대,02-2612-0112,서울특별시 구로구 중앙로 15길 30 고척지구대,37.5066010740517,126.858302326165,고척동
184,서울청,서울구로,개봉,지구대,02-2612-0330,서울특별시 구로구  개봉로18길 5 개봉지구대,37.4918322570645,126.856448965021,개봉동
185,서울청,서울구로,구로3,파출소,02-866-0112,서울특별시 구로구  디지털로31길 86 구로3파출소,37.4866606515713,126.891399918226,구로동
186,서울청,서울구로,가리봉,파출소,02-854-0112,서울특별시 구로구 남부순환로 1275 가리봉파출소,37.4792089328892,126.892660335738,가리봉동
187,서울청,서울구로,천왕,파출소,02-840-8308,서울특별시 구로구 오리로 1102-8,37.4838544428815,126.842564336077,천왕동
188,서울청,서울서초,반포,지구대,02-536-8477,서울특별시 서초구 신반포로190,37.5059651429834,127.005186250271,반포동
189,서울청,서울서초,서초2,파출소,02-536-8477,서울 서초구 서운로 38,37.4875206192926,127.028982195737,서초동
190,서울청,서울서초,서초3,파출소,02-572-0692,서울 서초구 반포대로30길 40,37.4919750194143,127.010793588595,서초동
191,서울청,서울서초,양재,파출소,02-572-0113,서울 서초구 남부순환로356길 9,37.4845457734066,127.037855508801,양재동
192,서울청,서울서초,서초,파출소,02-583-6249,서울 서초구 효령로 297,37.4852860553806,127.016737938236,서초동
193,서울청,서울서초,우면,파출소,02-581-1120,서울 서초구 양재대로2길 106,37.4561084600715,127.016008083183,우면동
194,서울청,서울서초,내곡,파출소,02-573-5826,서울특별시 서초구 헌릉로 226,37.4549892093417,127.064800488558,내곡동
195,서울청,서울양천,목1,지구대,02-2648-0040,서울특별시 양천구  목동동로 373,37.535155935841,126.878458075374,목동
196,서울청,서울양천,목2,지구대,02-2652-0112,서울특별시 양천구  등촌로 166,37.544527409853,126.862364416594,목동
197,서울청,서울양천,신정1,지구대,02-2643-0113,서울특별시 양천구  중앙로32길 65,37.5202997079635,126.860768123276,신정동
198,서울청,서울양천,신정2,지구대,02-2699-0678,서울특별시 양천구 목동로17길 5,37.5244524591257,126.863575783703,신정동
199,서울청,서울양천,신월2,지구대,02-2608-0112,서울특별시 양천구 지양로 55,37.5205420022268,126.834388421956,신월동
200,서울청,서울양천,신월1,파출소,02-2602-0092,서울특별시 양천구  남부순환로59길 8 ,37.5320545919305,126.832251816573,신월동
201,서울청,서울양천,신정3,파출소,02-2696-2305,서울특별시 양천구  중앙로 205,37.5149191698884,126.854985652216,신정동
202,서울청,서울양천,신월5,파출소,02-2693-0113,서울특별시 양천구  남부순환로31길 37,37.5390738299023,126.830673512582,신월동
203,서울청,서울송파,방이,지구대,02-3402-6301,서울특별시 송파구  양재대로71길 5-6,37.5102499083954,127.12574636006,방이동
204,서울청,서울송파,잠실,지구대,02-3402-6302,서울특별시 송파구  올림픽로 101,37.5120988483068,127.082140287795,잠실동
205,서울청,서울송파,삼전,지구대,02-3402-6303,서울특별시 송파구  백제고분로 238,37.5026745946968,127.092748887805,삼전동
206,서울청,서울송파,가락,지구대,02-3402-6304,서울특별시 송파구  중대로 179,37.4981844710972,127.125313358803,가락동
207,서울청,서울송파,문정,지구대,02-3402-6305,서울특별시 송파구 충민로2길 18,37.4782186791907,127.126925891212,장지동
208,서울청,서울송파,마천,파출소,02-3402-6306,서울특별시 송파구  마천로 41길 8,37.4970267513558,127.148210129756,마천동
209,서울청,서울송파,거여,파출소,02-3402-6307,서울특별시 송파구 새말로15길 9,37.485159448483,127.129717275738,문정동
210,서울청,서울송파,풍납,파출소,02-3402-6308,서울특별시 송파구  풍성로 42,37.5341648236007,127.117094888155,풍납동
211,서울청,서울송파,오금,파출소,02-3402-6309,서울특별시 송파구  마천로8길 17,37.5068995168609,127.128101023042,오금동
212,서울청,서울송파,신천,파출소,02-3402-6310,서울특별시 송파구  올림픽로35길 12 ,37.5201681247815,127.112554886342,신천동
